date,anchor,side,entry_time,entry,exit_time,exit,max_favorable,outcome,pnl_dist,pnl_usd,lot,gross_pnl_dist,spread_cost,slippage_cost,date_only
2026-04-01,A1_02h_Asia,SELL,2026-04-01 01:00:00+00:00,4677.65,2026-04-01 01:03:00+00:00,4676.92,4676.82,Trail,0.64,32.0,0.5,0.73,0.04,0.05,2026-04-01
2026-04-01,A2_10h_London,SELL,2026-04-01 07:04:00+00:00,4676.86,2026-04-01 07:06:00+00:00,4675.72,4675.62,Trail,1.0499999999999998,52.5,0.5,1.14,0.04,0.05,2026-04-01
2026-04-01,A3_14h_Overlap,SELL,2026-04-01 11:00:00+00:00,4713.94,2026-04-01 11:25:00+00:00,4731.94,4713.94,SL,-18.09,-904.5,0.5,-18.0,0.04,0.05,2026-04-01
2026-04-01,A4_17h_NYopen,BUY,2026-04-01 14:04:00+00:00,4737.75,2026-04-01 14:06:00+00:00,4739.389999999999,4739.49,Trail,1.5499999999999998,77.5,0.5,1.64,0.04,0.05,2026-04-01
2026-04-02,A1_02h_Asia,SELL,2026-04-02 01:00:00+00:00,4761.16,2026-04-02 01:02:00+00:00,4757.34,4757.24,Trail,3.73,186.5,0.5,3.82,0.04,0.05,2026-04-02
2026-04-02,A2_10h_London,SELL,2026-04-02 07:05:00+00:00,4673.06,2026-04-02 07:07:00+00:00,4665.200000000001,4665.1,Trail,7.7700000000000005,388.5,0.5,7.86,0.04,0.05,2026-04-02
2026-04-02,A3_14h_Overlap,SELL,2026-04-02 11:02:00+00:00,4642.14,2026-04-02 11:05:00+00:00,4637.63,4637.53,Trail,4.42,221.0,0.5,4.51,0.04,0.05,2026-04-02
2026-04-02,A4_17h_NYopen,BUY,2026-04-02 14:03:00+00:00,4624.8,2026-04-02 14:05:00+00:00,4626.87,4626.97,Trail,1.9799999999999998,99.0,0.5,2.07,0.04,0.05,2026-04-02
2026-04-06,A2_10h_London,BUY,2026-04-06 07:04:00+00:00,4645.62,2026-04-06 07:06:00+00:00,4648.11,4648.21,Trail,2.4000000000000004,120.0,0.5,2.49,0.04,0.05,2026-04-06
2026-04-06,A3_14h_Overlap,BUY,2026-04-06 11:04:00+00:00,4690.63,2026-04-06 11:06:00+00:00,4693.429999999999,4693.53,Trail,2.71,135.5,0.5,2.8,0.04,0.05,2026-04-06
2026-04-06,A4_17h_NYopen,BUY,2026-04-06 14:02:00+00:00,4695.79,2026-04-06 14:09:00+00:00,4696.69,4696.79,Trail,0.81,40.5,0.5,0.9,0.04,0.05,2026-04-06
2026-04-07,A1_02h_Asia,SELL,2026-04-07 01:00:00+00:00,4650.41,2026-04-07 03:02:00+00:00,4649.33,4649.23,Trail,0.9900000000000001,49.5,0.5,1.08,0.04,0.05,2026-04-07
2026-04-07,A2_10h_London,BUY,2026-04-07 07:31:00+00:00,4654.75,2026-04-07 07:33:00+00:00,4657.3099999999995,4657.41,Trail,2.47,123.5,0.5,2.56,0.04,0.05,2026-04-07
2026-04-07,A3_14h_Overlap,BUY,2026-04-07 11:02:00+00:00,4650.61,2026-04-07 11:04:00+00:00,4656.73,4656.83,Trail,6.03,301.5,0.5,6.12,0.04,0.05,2026-04-07
2026-04-07,A4_17h_NYopen,SELL,2026-04-07 14:02:00+00:00,4648.61,2026-04-07 14:04:00+00:00,4646.2300000000005,4646.13,Trail,2.29,114.5,0.5,2.38,0.04,0.05,2026-04-07
2026-04-08,A1_02h_Asia,BUY,2026-04-08 01:00:00+00:00,4705.71,2026-04-08 01:01:00+00:00,4735.71,4746.72,TP,29.91,1495.5,0.5,30.0,0.04,0.05,2026-04-08
2026-04-08,A2_10h_London,SELL,2026-04-08 07:17:00+00:00,4793.44,2026-04-08 07:19:00+00:00,4792.240000000001,4792.14,Trail,1.1099999999999999,55.5,0.5,1.2,0.04,0.05,2026-04-08
2026-04-08,A3_14h_Overlap,BUY,2026-04-08 11:04:00+00:00,4816.08,2026-04-08 11:06:00+00:00,4819.29,4819.39,Trail,3.12,156.0,0.5,3.21,0.04,0.05,2026-04-08
2026-04-08,A4_17h_NYopen,BUY,2026-04-08 14:07:00+00:00,4786.69,2026-04-08 14:09:00+00:00,4789.5,4789.6,Trail,2.72,136.0,0.5,2.81,0.04,0.05,2026-04-08
2026-04-09,A1_02h_Asia,SELL,2026-04-09 01:00:00+00:00,4725.63,2026-04-09 01:02:00+00:00,4724.31,4724.21,Trail,1.23,61.5,0.5,1.32,0.04,0.05,2026-04-09
2026-04-09,A2_10h_London,BUY,2026-04-09 07:05:00+00:00,4717.04,2026-04-09 07:07:00+00:00,4717.91,4718.01,Trail,0.78,39.0,0.5,0.87,0.04,0.05,2026-04-09
2026-04-09,A3_14h_Overlap,SELL,2026-04-09 11:06:00+00:00,4720.31,2026-04-09 13:24:00+00:00,4738.31,4720.29,SL,-18.09,-904.5,0.5,-18.0,0.04,0.05,2026-04-09
2026-04-09,A4_17h_NYopen,BUY,2026-04-09 14:29:00+00:00,4747.36,2026-04-09 14:31:00+00:00,4747.599999999999,4747.7,Trail,0.15,7.5,0.5,0.24,0.04,0.05,2026-04-09
2026-04-10,A1_02h_Asia,BUY,2026-04-10 01:00:00+00:00,4773.85,2026-04-10 01:02:00+00:00,4779.009999999999,4779.11,Trail,5.07,253.5,0.5,5.16,0.04,0.05,2026-04-10
2026-04-10,A2_10h_London,SELL,2026-04-10 07:38:00+00:00,4762.62,2026-04-10 07:42:00+00:00,4761.89,4761.79,Trail,0.64,32.0,0.5,0.73,0.04,0.05,2026-04-10
2026-04-10,A3_14h_Overlap,SELL,2026-04-10 11:17:00+00:00,4746.51,2026-04-10 11:19:00+00:00,4742.3,4742.2,Trail,4.12,206.0,0.5,4.21,0.04,0.05,2026-04-10
